case_id,issue_type,topology_note,symptom,show_outputs,expected_fault,osi_layer,concept,severity,expected_next_command,expected_fix
CASE-01,VLAN,"PC1(VLAN5, Fa0/5) -> SW1 -> R1(router-on-a-stick, Gi0/0.5 and Gi0/0.10 sub-interfaces) -> Server1(VLAN10, Fa0/10); SW1-R1 uplink on SW1 Gi0/1",PC1 (VLAN5) cannot communicate with Server1 (VLAN10) via router R1; loading Server1's web page at 10.10.10.1 from PC1's browser fails.,"SW1#show vlan brief
5   VLAN0005  active  Fa0/5, Gig0/1
10  VLAN0010  active  Fa0/10

SW1#show interfaces gigabitEthernet 0/1 switchport
Administrative Mode: static access
Operational Mode: static access
Access Mode VLAN: 5 (VLAN0005)","SW1's switch-to-router uplink (Gi0/1) was configured as an access port in VLAN5 instead of trunk mode, blocking VLAN10 traffic from reaching R1 and breaking inter-VLAN routing",Layer 2,VLAN/Trunking (Uplink in Access Mode),High,SW1# show interfaces trunk,"SW1(config)# interface gigabitEthernet 0/1
SW1(config-if)# switchport mode trunk
SW1(config-if)# end"
CASE-02,Gateway,"PC1(192.168.1.10) -> SW1 -> R1(Fa0/0, 192.168.1.1; Loopback0, 172.16.1.1 simulating a remote network) -> Server1(192.168.1.20)","PC1 (192.168.1.10) can reach devices on its own subnet fine, but cannot reach a remote network (172.16.1.1) reachable only via the default gateway.","C:\>ping 172.16.1.1
Request timed out. (x4)
Ping statistics: Sent = 4, Received = 0, Lost = 4 (100% loss)

C:\>ipconfig
IPv4 Address: 192.168.1.10
Subnet Mask: 255.255.255.0
Default Gateway: 192.168.1.99","PC1's default gateway was manually misconfigured to 192.168.1.99 instead of the router's real interface IP 192.168.1.1, blocking all off-subnet traffic while same-subnet traffic remained unaffected",Layer 3,Gateway misconfiguration,Medium,ipconfig /all,Configure PC1 Default Gateway to 192.168.1.1
CASE-03,DHCP,"PC2(DHCP client) -> SW1 -> R1(DHCP server, pool LANPOOL, excluded 192.168.1.1-192.168.1.9); PC1 and Server1 unaffected (static IPs)","PC2, configured for DHCP, fails to obtain an IP address (ipconfig /renew returns 'DHCP request failed'); previously worked fine.","C:\>ipconfig /renew
DHCP request failed.

R1#show running-config | section dhcp
ip dhcp pool LANPOOL
 network 192.168.1.0 255.255.255.252
 default-router 192.168.1.1

R1#show ip dhcp binding
IP address        Client-ID/Hardware address   Lease expiration   Type
192.168.1.11       0001.4284.BBC9               --                 Automatic","DHCP pool's network statement was shrunk to a /30, leaving no usable addresses to lease (combined with the existing exclusion range), causing new/renewing clients to fail lease acquisition despite the DHCP service itself still running",Layer 7,DHCP pool exhaustion (/30 scope),High,R1# show ip dhcp pool,"R1(config)# ip dhcp pool LANPOOL
R1(dhcp-config)# network 192.168.1.0 255.255.255.0
R1(dhcp-config)# end"
CASE-04,ACL,"PC1(192.168.1.10) -> SW1 -> R1(Fa0/0 192.168.1.1, inbound ACL 101; Loopback0 172.16.1.1) -> Server1(192.168.1.20)","PC1 can reach Server1 normally, but ping to 172.16.1.1 (a remote-simulated host behind R1) returns 'Destination host unreachable'; previously worked fine.","C:\>ping 172.16.1.1
Reply from 192.168.1.1: Destination host unreachable. (x4)
Ping statistics: Sent = 4, Received = 0, Lost = 4 (100% loss)

R1#show access-lists
Extended IP access list 101
 10 deny icmp any host 172.16.1.1 (4 match(es))
 20 permit ip any any","An extended ACL (101) applied inbound on R1's Fa0/0 explicitly denied ICMP traffic to 172.16.1.1, blocking ping to that specific host while leaving all other traffic unaffected",Layer 4,ACL misconfiguration (Explicit ICMP Deny),High,R1# show access-lists 101,"R1(config)# ip access-list extended 101
R1(config-ext-nacl)# no 10
R1(config-ext-nacl)# end"
CASE-05,NAT,"PC1(192.168.1.10) -> SW1 -> R1(Fa0/0 inside, Fa0/1 outside 172.16.2.2, NAT pool 172.16.1.50-.60 overload, ACL 1 for NAT source matching) -> R2(Fa0/0, 172.16.2.1)","PC1 cannot reach a remote network (172.16.2.1, beyond a second router R2) despite NAT being configured on R1; previously worked fine.","C:\>ping 172.16.2.1
Request timed out. (x4)
Ping statistics: Sent = 4, Received = 0, Lost = 4 (100% loss)

R1#show access-lists 1
Standard IP access list 1
    10 permit 192.168.2.0, wildcard bits 0.0.0.255

R1#show ip nat translations
(empty -- no translation entries created)","The standard ACL (1) used by the ip nat inside source rule was changed to match the wrong subnet (192.168.2.0/24 instead of 192.168.1.0/24), so PC1's traffic no longer qualified for NAT translation",Layer 3,NAT misconfiguration (ACL subnet mismatch),High,R1# show ip nat statistics,"R1(config)# access-list 1 permit 192.168.1.0 0.0.0.255
R1(config)# no access-list 1 permit 192.168.2.0 0.0.0.255"
CASE-06,Routing,"PC1(192.168.1.10) -> SW1 -> R1(Fa0/1 172.16.2.2) -> R2(Fa0/0 172.16.2.1, Fa0/1 172.16.3.1) -> PC3(172.16.3.10)",PC1 cannot reach PC3 (172.16.3.10) behind R2; ping returns 'Destination host unreachable' from R1 itself.,"C:\>ping 172.16.3.10
Reply from 192.168.1.1: Destination host unreachable. (x2)
Request timed out. (x2)

R1#show ip route
172.16.0.0/16 is variably subnetted, 2 subnets, 2 masks
C  172.16.1.1/32 is directly connected, Loopback0
C  172.16.2.0/24 is directly connected, FastEthernet0/1
C  192.168.1.0/24 is directly connected, FastEthernet0/0
(no entry for 172.16.3.0/24)","R1 had no static or dynamic route configured to reach the 172.16.3.0/24 subnet behind R2, so all traffic to that network was dropped at R1 with a 'destination unreachable' response",Layer 3,Missing route (Static route absent),High,R1# show ip route,R1(config)# ip route 172.16.3.0 255.255.255.0 172.16.2.1
CASE-07,DNS,"PC1(192.168.1.10, DNS client) -> SW1 -> R1 -> Server1(192.168.1.20, running DNS service with A record www.testsite.com -> 192.168.1.20)","PC1 can no longer resolve www.testsite.com by name ('could not find host'), though the server itself remains reachable by IP.","C:\>ping www.testsite.com
Ping request could not find host www.testsite.com. Please check the name and try again.

C:\>ping 192.168.1.20
Reply from 192.168.1.20: bytes=32 time<1ms TTL=128 (x4)

C:\>ipconfig /all
IPv4 Address: 192.168.1.10
Subnet Mask: 255.255.255.0
Default Gateway: 192.168.1.1
DNS Servers: 192.168.1.199","PC1's configured DNS server address was changed to a nonexistent IP (192.168.1.199), so name resolution for www.testsite.com failed entirely while direct IP connectivity remained fully functional",Layer 7,DNS misconfiguration (Wrong DNS server IP on client),Medium,ipconfig /all,Configure PC1 DNS Server IP to 192.168.1.20
CASE-08,NAT,"PC1(192.168.1.10) -> SW1 -> R1(Fa0/0 inside, Fa0/1 outside 172.16.2.2, NAT pool NATPOOL 172.16.1.50-.60, ACL 1 matching 192.168.1.0/24) -> R2(Fa0/0, 172.16.2.1)","PC1 cannot reach 172.16.2.1 (beyond R2), and no NAT translations occur, despite the NAT pool and ACL both still being correctly configured; previously worked fine.","C:\>ping 172.16.2.1
Request timed out. (x4)
Ping statistics: Sent = 4, Received = 0, Lost = 4 (100% loss)

R1#show running-config | section nat
ip nat pool NATPOOL 172.16.1.50 172.16.1.60 netmask 255.255.255.0
interface FastEthernet0/0
 ip nat inside
interface FastEthernet0/1
 ip nat outside
(missing 'ip nat inside source list 1 pool NATPOOL overload')

R1#show ip nat translations
(empty)","The ip nat inside source list 1 pool NATPOOL overload command binding the ACL to the NAT pool was removed, so no NAT translation rule was in effect",Layer 3,NAT misconfiguration (missing translation binding rule),High,R1# show ip nat statistics,R1(config)# ip nat inside source list 1 pool NATPOOL overload
CASE-09,Interface,PC1 -> SW1(FastEthernet0/1) -> LAN device(192.168.1.10); SW1 FastEthernet0/1 is the PC1 access port.,PC1 cannot communicate with the device at 192.168.1.10; ping returns 'Request timed out' because its switch access port is disabled.,"C:\>ping 192.168.1.10
Request timed out. (x4)
Ping statistics: Sent = 4, Received = 0, Lost = 4 (100% loss)

Switch#show interface fastEthernet 0/1 status
Port      Name               Status       Vlan       Duplex  Speed Type
Fa0/1                        disabled     1          auto    auto  10/100BaseTX","Switch interface FastEthernet0/1 was administratively shut down (disabled), causing the connected device to lose network connectivity",Layer 1,Interface administratively down (port shutdown),Medium,Switch# show interface Fa0/1 status,"Switch(config)# interface FastEthernet0/1
Switch(config-if)# no shutdown
Switch(config-if)# end"
CASE-10,VLAN,"PC1(192.168.1.10) -> Switch(Fa0/1, access VLAN10) -> Switch(Fa1/1, access VLAN10) -> PC2(192.168.1.20); both PCs must remain in VLAN10",PC1 (192.168.1.10) cannot communicate with PC2 (192.168.1.20) after PC1's switch access port is assigned to the wrong VLAN; ping returns 'Request timed out.',"Switch#show vlan brief
VLAN Name                             Status    Ports
---- -------------------------------- --------- -------------------------------
1    default                          active    
10   VLAN0010                         active    Fa1/1
20   VLAN0020                         active    Fa0/1

C:\>ping 192.168.1.20
Request timed out. (x4)","Switch interface Fa0/1 (PC1's port) was assigned to VLAN20 instead of VLAN10, placing PC1 and PC2 in different broadcast domains despite sharing the same IP subnet",Layer 2,"Wrong VLAN assignment (host-to-host, same subnet)",Medium,Switch# show vlan brief,"Switch(config)# interface FastEthernet0/1
Switch(config-if)# switchport access vlan 10
Switch(config-if)# end"
